self1,self2,self3,self4,self5,Context1,Context2,Input1,Input2,Input3,Process1,Process2,Process3,Process4,Product1,Product2,Product3,Product4
2,2,5,5,3,3,5,4,5,5,5,3,5,5,5,5,5,5
4,4,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,3,4,4,4,5,5,4,4,3,4,3,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2,2,2,2,1,1,4,4,4,3,4,2,3,1,1,3,3
5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
3,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,5
4,4,3,3,3,3,4,4,4,4,3,4,4,3,3,3,4,4
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,4
3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5
5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,5,3,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3
4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,5
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5
4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,5,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,4,3,2,4,4,4,4,3,3,3,3,4,4,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,2,2,3,5,4,4,4,5,5,5,5,5,3,5,5,4,5
5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,1,5,5,5,1,5,5,3,5,5,5,5,4,4
5,5,4,4,3,3,3,5,5,5,3,4,4,4,4,3,3,4
4,4,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,3
3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5
4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
4,4,4,4,4,5,5,5,5,5,3,2,5,5,5,5,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,5,5,3,5,5,5,5,5,5,5,4,5,5,4,5
3,3,4,4,3,2,3,4,4,3,4,3,3,3,3,3,4,4
4,4,3,4,4,4,4,5,5,5,4,4,4,4,4,3,4,4
3,4,3,3,3,5,4,3,4,4,4,4,4,4,3,3,5,5
4,3,3,3,4,5,2,5,5,5,5,2,3,3,4,3,5,5
4,4,4,3,2,4,3,4,5,4,4,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,4
3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3
5,5,5,4,4,5,5,4,5,5,5,4,4,4,4,5,5,5
5,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,4,4,4,4,4,4,5,5,5,3,4,4,4,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,4,4,4,5,5,4,5,5,4,4,5,5,5,4,4
5,5,2,3,3,3,3,4,5,4,3,3,3,4,3,3,3,4
3,3,3,3,3,5,5,4,4,4,4,5,4,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,2,2,3,4,4,4,4,3,3,4,3,3,3,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,3,4,3,4,5,5,4,4,3,5,4,4,3,4,5,4
4,3,5,4,3,5,5,5,5,5,5,5,5,4,3,3,5,5
4,3,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5
5,5,4,4,5,5,5,5,5,4,4,4,5,3,5,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,2,4,4,4,3,5,5,5,5,4,5,5,5,5,4,5,4
5,4,4,5,4,4,3,4,3,5,5,4,4,5,4,3,5,5
4,4,4,4,3,3,4,5,5,5,5,3,4,4,4,5,4,4
5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5
4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,5,4
4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,3,4,4,2,3,4,4,4,5,5,5,5,3,4,2,4,5
4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,5,5,4,4,5,4,5,5,4,5,5,4,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5
4,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4
5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
5,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4
4,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,5,5,3,4,5,4,4,5,5,5,4,4,5,5,5,5
5,3,3,4,2,4,2,4,4,4,4,4,4,2,3,3,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,5,5,5,5,4,3,4,4,4,3,4,4,4,4,4,4,4
4,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4
4,4,4,4,4,5,5,4,4,5,4,4,5,4,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4
4,3,4,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4
4,3,3,3,3,4,4,5,4,4,4,4,4,5,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,3,5,4,3,3,5,5,5,5,5,5,4,4,4,3,4,4
4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,3,4,4,2,3,4,4,4,2,2,1,2,2,2,2,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3
4,3,5,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,4,5,5,5,3,4,4,3,4,3,3,4,4,4,4,3,4
3,3,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3
1,3,3,4,2,4,3,4,4,3,3,4,5,4,4,4,3,3
5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,3,4,3,4,4,5,4,5,5,5,5,5,5,4,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,3,5,5,5,3,4,4,4,3,4,3,4,5,4
4,3,3,3,3,3,3,2,3,4,2,2,3,2,3,3,4,2
5,5,4,5,5,5,5,5,5,5,4,2,5,5,4,5,3,4
